main_matrix_name,aux_matrix_name,rmse
OVEJ920103.csv,ALTS910101.csv,0.8317
OVEJ920103.csv,LINK010101.csv,0.8319
OVEJ920103.csv,KAPO950101.csv,0.8308
OVEJ920103.csv,LUTR910109.csv,0.8321
OVEJ920103.csv,AZAE970101.csv,0.8315
OVEJ920103.csv,DAYM780302.csv,0.8323
OVEJ920103.csv,KOLA920101.csv,0.8300
OVEJ920103.csv,KOSJ950112.csv,0.8317
OVEJ920103.csv,LUTR910107.csv,0.8329
OVEJ920103.csv,KOSJ950107.csv,0.8312
OVEJ920103.csv,KANM000101.csv,0.8316
OVEJ920103.csv,OVEJ920102.csv,0.8287
OVEJ920103.csv,KOSJ950115.csv,0.8318
OVEJ920103.csv,LUTR910108.csv,0.8330
OVEJ920103.csv,GEOD900101.csv,0.8297
OVEJ920103.csv,GIAG010101.csv,0.8289
NIEK910102.csv,KOSJ950101.csv,0.8288
